,?砍??交?,?,頧砍?,瘣暹,餈漲,?斗??斗???⊥??餉扇??蝥Ｚ銝???
0,2022-06-23,0,0,1.6,摰,2022-06-29,2022-06-28,
1,2021-05-07,0,0,1.2,摰,2021-05-13,2021-05-12,
2,2020-05-13,0,0,3.6,摰,2020-05-20,2020-05-19,
3,2019-05-09,0,0,3.6,摰,2019-05-16,2019-05-15,
4,2018-05-09,0,0,3.6,摰,2018-05-15,2018-05-14,
5,2017-05-04,0,0,3.6,摰,2017-05-11,2017-05-10,
6,2016-04-29,0,0,3.6,摰,2016-05-06,2016-05-05,
7,2015-04-23,0,0,3.6,摰,2015-04-30,2015-04-29,
8,2014-04-21,0,0,3.6,摰,2014-04-29,2014-04-28,
9,2013-05-07,0,0,3.6,摰,2013-05-14,2013-05-13,
10,2012-02-24,0,0,3.6,摰,2012-03-01,2012-02-29,
11,2011-09-01,0,0,3.2,摰,2011-09-08,2011-09-07,
12,2011-05-26,0,0,0.0,銝???,,
